হোটেলটোৰ	O
নাম	O
হোষ্টেল	B-FAC
টামলো	I-FAC
।	O

আমি	O
প্ৰত্যোক	O
দিনাই	O
ওলাই	O
আহোতে	O
মোৰ	O
ভাগিন	O
ছোৱালী	O
গীতাই	B-PER
গ্ৰীন	B-FAC
উইছ	I-FAC
ট্ৰেইন	I-FAC
ষ্টেচনত	I-FAC
আমাক	O
গাড়ীৰে	O
থৈ	O
যায়	O
।	O

২২০	O
কি:মি:	O
থকা	O
আন	O
এটা	O
ৰেল	O
ষ্টেচনৰ	O
নাম	O
হ'ল	O
জিৰিবন	B-FAC
।	O

১৮৯৪	B-YEAR
চনৰ	I-YEAR
১	B-DATE
অক্টোবৰত	I-DATE
মৃত্যু	O
হোৱা	O
আহোম	B-MISC
স্বৰ্গদেউ	O
পুৰন্দৰ	B-PER
সিংহৰ	I-PER
সমাধিক্ষেত্ৰ	O
।	O

ছেকেন্দ্ৰবাদ	B-FAC
ৰে'ল	I-FAC
ষ্টেচনটো	I-FAC
চালেও	O
যাতায়ত	O
ব্যৱস্থাৰ	O
উন্নয়নত	O
চন্দ্ৰবাবু	B-PER
নাইডুৱে	I-PER
দিয়া	O
গুৰুত্বৰ	O
কথা	O
উপলব্ধি	O
কৰিব	O
পাৰি	O
।	O

লিমা	B-FAC
বিমান	I-FAC
বন্দৰটো	I-FAC
সৰু	O
কিন্তু	O
সুন্দৰ	O
।	O

পেৰুৰ	B-LOC
ৰাজধানী	O
লিমাত	B-LOC
৩	O
দিন	O
থকাৰ	O
পিচত	O
আমি	O
২৪	B-DATE
এপ্ৰিলত	I-DATE
হুৱানোকোলৈ	B-LOC
যাত্ৰা	O
কৰিলো	O
।	O

১৮৮১	B-YEAR
চনৰ	I-YEAR
২৭	B-DATE
আগষ্টত	I-DATE
স্বীকৃতি	O
প্ৰদান	O
কৰা	O
অসমৰ	B-LOC
যোৰহাট	B-LOC
জিলাৰ	O
এসময়ৰ	O
হোলোঙাপাৰ	B-LOC
সংৰক্ষিত	I-LOC
বনাঞ্চলৰ	I-LOC
অংশৰপৰাই	O
হোলোঙাপাৰ	B-LOC
গিবন	I-LOC
অভয়াৰণ্যৰ	I-LOC
সৃষ্টি	O
হৈছে	O
।	O

বৰ্তমান	O
উগ্ৰতাৰা	B-LOC
দেৱালয়	I-LOC
আহোম	O
স্বৰ্গদেউ	O
শিৱ	B-PER
সিংহয়ে	I-PER
১৭২৫	B-YEAR
খ্ৰীষ্টাব্দত	I-YEAR
নিৰ্মাণ	O
কৰাইছিল	O
।	O

বাল্টিমোৰ	B-FAC
ৰেল	I-FAC
ষ্টেচনত	I-FAC
থৈ	O
অহাৰ	O
দায়িত্ব	O
ক্তিষ্টিৰ	B-PER
।	O

উদ্যানখনক	O
১৯৭৮	B-YEAR
চনৰ	I-YEAR
১৭	B-DATE
অক্টোবৰত	I-DATE
সংৰক্ষিত	O
বনাঞ্চল	O
হিচাপে	O
ঘোষণা	O
কৰা	O
হৈছিল	O
।	O

ভিক্টোৰিয়া	B-FAC
ষ্টেচনৰে	I-FAC
এচকেলেটৰখন	O
যথেষ্ট	O
ডাঙৰ	O
আছিল	O
।	O

১৬৮২	B-YEAR
চনত	I-YEAR
আহোম	B-MISC
স্বৰ্গদেউ	O
ৰুদ্ৰ	B-PER
সিংহয়ে	I-PER
মোগলৰ	B-MISC
